Reference Geometry	Ply Group	Sequence	Ply/Insert	Material	C373	C374	C375	C369	C370	C371	C361	C362	C363	C353	C354	C355	C345	C346	C347	C337	C338	C339	C329	C330	C331	C321	C322	C323	C313	C314	C315	
OML	Plies Group.1	S.80	Ply.80	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.81	Ply.81	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.82	Ply.82	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.83	Ply.83	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.84	Ply.84	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.85	Ply.85	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D					90		90	90		90	90	90	90	90		90	90	90		90		90	90			90	90	
OML	Plies Group.1	S.86	Ply.86	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.87	Ply.87	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D									90			90			90		90	90	90	90	90	90	90	90	90	90	90	
OML	Plies Group.1	S.88	Ply.88	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.89	Ply.89	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D									0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OML	Plies Group.1	S.90	Ply.90	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.91	Ply.91	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D															0			0		0	0	0	0	0	0	0	0	
